note_on,time,velocity,instrument,duration
98,38.25,6,drums,0.10000000000000142
98,38.4,49,drums,0.10000000000000142
98,38.55,8,drums,0.10000000000000142
98,38.69772727272727,23,drums,0.10000000000000142
98,39.00909090909091,8,drums,0.10000000000000142
98,39.15681818181818,32,drums,0.10000000000000142
98,39.30681818181818,50,drums,0.10000000000000142
98,39.45681818181818,7,drums,0.10000000000000142
98,39.60454545454545,39,drums,0.10000000000000142
98,39.75454545454545,4,drums,0.10000000000000142
98,39.904545454545456,12,drums,0.09999999999999432
98,40.05227272727272,9,drums,0.10000000000000142
98,40.20227272727273,9,drums,0.09999999999999432
98,40.35227272727273,32,drums,0.10000000000000142
98,40.502272727272725,56,drums,0.10000000000000142
98,40.66136363636363,6,drums,0.10000000000000142
98,40.81136363636364,43,drums,0.09999999999999432
98,40.959090909090904,7,drums,0.10000000000000142
98,41.10909090909091,23,drums,0.09999999999999432
98,41.40909090909091,8,drums,0.10000000000000142
98,41.55681818181818,29,drums,0.10000000000000142
98,41.70681818181818,46,drums,0.10000000000000142
98,41.85681818181818,7,drums,0.10000000000000142
98,42.00454545454545,40,drums,0.10000000000000142
98,42.16590909090909,8,drums,0.10000000000000142
98,42.304545454545455,17,drums,0.09999999999999432
98,42.46363636363636,9,drums,0.10000000000000142
98,42.61363636363636,9,drums,0.10000000000000142
98,42.76363636363636,30,drums,0.10000000000000142
98,42.91136363636363,55,drums,0.10000000000000142
98,43.06136363636364,7,drums,0.09999999999999432
98,43.211363636363636,44,drums,0.10000000000000142
98,43.35909090909091,7,drums,0.09999999999999432
98,43.50909090909091,26,drums,0.10000000000000142
98,43.95681818181818,31,drums,0.10000000000000142
98,44.10681818181818,56,drums,0.10000000000000142
98,44.26590909090909,7,drums,0.10000000000000142
98,44.41590909090909,37,drums,0.10000000000000142
98,44.56590909090909,7,drums,0.10000000000000142
98,44.71363636363636,12,drums,0.10000000000000142
98,44.86363636363636,9,drums,0.10000000000000142
98,45.01363636363636,9,drums,0.10000000000000142
98,45.163636363636364,29,drums,0.09999999999999432
98,45.31136363636364,52,drums,0.09999999999999432
98,45.461363636363636,7,drums,0.10000000000000142
98,45.611363636363635,40,drums,0.10000000000000142
98,45.75909090909091,7,drums,0.10000000000000142
98,45.90909090909091,24,drums,0.10000000000000142
98,46.21818181818182,9,drums,0.09999999999999432
98,46.35681818181818,36,drums,0.10000000000000142
98,46.50681818181818,49,drums,0.09999999999999432
98,46.66590909090909,7,drums,0.10000000000000142
98,46.81590909090909,42,drums,0.10000000000000142
98,46.965909090909086,8,drums,0.10000000000000142
98,47.11363636363636,14,drums,0.10000000000000142
98,47.26363636363636,10,drums,0.10000000000000142
98,47.413636363636364,8,drums,0.09999999999999432
98,47.56363636363636,33,drums,0.10000000000000142
98,47.711363636363636,48,drums,0.10000000000000142
98,47.87272727272727,5,drums,0.10000000000000142
