pitch,velocity,duration,pos,boundary,bar,instrument,velocity_bucket,duration_bucket
43,100,0.1590909090909091,783,0,79,DL_Guitar,-1,-1
55,100,0.2636363636363636,839,0,79,DL_Guitar,-1,-1
43,100,0.13636363636363635,17,1,80,DL_Guitar,-1,-1
55,100,0.16363636363636364,47,0,80,DL_Guitar,-1,-1
62,100,0.9409090909090909,233,0,80,DL_Guitar,-1,-1
62,100,0.5181818181818182,523,1,80,DL_Guitar,-1,-1
62,100,0.13636363636363635,810,1,80,DL_Guitar,-1,-1
43,100,0.11818181818181818,857,0,80,DL_Guitar,-1,-1
55,100,0.3181818181818182,40,1,81,DL_Guitar,-1,-1
43,100,0.4818181818181818,202,0,81,DL_Guitar,-1,-1
55,100,0.2772727272727273,470,1,81,DL_Guitar,-1,-1
55,100,1.3590909090909091,590,0,81,DL_Guitar,-1,-1
55,100,0.3,87,1,82,DL_Guitar,-1,-1
62,100,0.5,312,1,82,DL_Guitar,-1,-1
62,100,0.5590909090909091,436,0,82,DL_Guitar,-1,-1
62,100,0.2,722,1,82,DL_Guitar,-1,-1
62,100,0.13636363636363635,810,0,82,DL_Guitar,-1,-1
57,100,0.2409090909090909,839,0,82,DL_Guitar,-1,-1
57,100,1.3227272727272728,386,1,83,DL_Guitar,-1,-1
62,100,0.13636363636363635,787,1,83,DL_Guitar,-1,-1
59,100,0.37727272727272726,83,1,84,DL_Guitar,-1,-1
59,100,0.2590909090909091,303,1,84,DL_Guitar,-1,-1
59,100,0.2772727272727273,404,0,84,DL_Guitar,-1,-1
59,100,0.41818181818181815,502,0,84,DL_Guitar,-1,-1
43,100,0.2590909090909091,646,0,84,DL_Guitar,-1,-1
62,100,0.9,716,0,84,DL_Guitar,-1,-1
43,100,0.1,56,1,85,DL_Guitar,-1,-1
55,100,0.17727272727272728,127,0,85,DL_Guitar,-1,-1
50,100,0.7,453,1,85,DL_Guitar,-1,-1
57,100,0.2590909090909091,616,0,85,DL_Guitar,-1,-1
57,100,0.17727272727272728,700,0,85,DL_Guitar,-1,-1
55,100,0.5409090909090909,0,1,86,DL_Guitar,-1,-1
55,100,0.1409090909090909,377,1,86,DL_Guitar,-1,-1
55,100,1.6181818181818182,449,0,86,DL_Guitar,-1,-1
55,100,0.6,853,1,86,DL_Guitar,-1,-1
50,100,0.33636363636363636,347,1,87,DL_Guitar,-1,-1
50,100,0.7227272727272728,553,1,87,DL_Guitar,-1,-1
50,100,0.2409090909090909,729,0,87,DL_Guitar,-1,-1
50,100,0.7,53,1,88,DL_Guitar,-1,-1
57,100,0.5818181818181818,220,0,88,DL_Guitar,-1,-1
55,100,0.13636363636363635,612,1,88,DL_Guitar,-1,-1
59,100,0.2590909090909091,106,1,89,DL_Guitar,-1,-1
59,100,0.6,176,0,89,DL_Guitar,-1,-1
59,100,0.1590909090909091,320,0,89,DL_Guitar,-1,-1
60,100,0.18181818181818182,378,1,0,DL_Remix_Guitar,-1,-1
55,100,0.37727272727272726,546,0,0,DL_Remix_Guitar,-1,-1
55,100,0.3409090909090909,796,1,0,DL_Remix_Guitar,-1,-1
52,100,0.1,267,1,1,DL_Remix_Guitar,-1,-1
53,100,0.18181818181818182,290,0,1,DL_Remix_Guitar,-1,-1
60,100,0.1,360,0,1,DL_Remix_Guitar,-1,-1
60,100,0.11818181818181818,405,0,1,DL_Remix_Guitar,-1,-1
60,100,0.2636363636363636,487,0,1,DL_Remix_Guitar,-1,-1
41,100,0.1590909090909091,559,0,1,DL_Remix_Guitar,-1,-1
60,100,0.1590909090909091,700,0,1,DL_Remix_Guitar,-1,-1
62,100,0.4409090909090909,34,1,2,DL_Remix_Guitar,-1,-1
55,100,0.2772727272727273,281,1,2,DL_Remix_Guitar,-1,-1
62,100,0.18181818181818182,421,0,2,DL_Remix_Guitar,-1,-1
62,100,0.2818181818181818,528,0,2,DL_Remix_Guitar,-1,-1
62,100,0.11818181818181818,611,0,2,DL_Remix_Guitar,-1,-1
62,100,0.5227272727272727,642,0,2,DL_Remix_Guitar,-1,-1
61,100,0.1590909090909091,83,1,3,DL_Remix_Guitar,-1,-1
61,100,0.18181818181818182,122,0,3,DL_Remix_Guitar,-1,-1
61,100,0.2818181818181818,254,0,3,DL_Remix_Guitar,-1,-1
57,100,0.37727272727272726,427,0,3,DL_Remix_Guitar,-1,-1
