pitch,velocity,duration,pos,boundary,bar,instrument,song_id,velocity_bucket,duration_bucket
55,100,0.5227272727272727,453,1,43,DL_Guitar,ninjyou,6,8
62,100,0.5409090909090909,641,1,43,DL_Guitar,ninjyou,6,9
57,100,0.1409090909090909,251,1,44,DL_Guitar,ninjyou,6,2
69,100,0.1409090909090909,453,1,44,DL_Guitar,ninjyou,6,2
69,100,0.1,606,1,44,DL_Guitar,ninjyou,6,2
59,100,0.12272727272727273,254,1,45,DL_Guitar,ninjyou,6,2
55,100,0.5181818181818182,303,0,45,DL_Guitar,ninjyou,6,8
67,100,0.1590909090909091,440,1,45,DL_Guitar,ninjyou,6,3
62,100,0.2409090909090909,641,1,45,DL_Guitar,ninjyou,6,4
52,100,1.9181818181818182,383,1,46,DL_Guitar,ninjyou,6,15
62,100,0.1409090909090909,21,1,47,DL_Guitar,ninjyou,6,2
55,100,0.17727272727272728,348,1,47,DL_Guitar,ninjyou,6,3
55,100,1.018181818181818,391,0,47,DL_Guitar,ninjyou,6,15
60,100,0.1590909090909091,813,1,47,DL_Guitar,ninjyou,6,3
62,100,0.23636363636363636,238,1,48,DL_Guitar,ninjyou,6,4
62,100,0.4,871,1,48,DL_Guitar,ninjyou,6,6
62,100,1.6,101,1,49,DL_Guitar,ninjyou,6,15
67,100,0.2590909090909091,453,1,49,DL_Guitar,ninjyou,6,4
62,100,0.18181818181818182,791,1,49,DL_Guitar,ninjyou,6,3
62,100,1.040909090909091,0,1,50,DL_Guitar,ninjyou,6,15
74,100,0.12272727272727273,254,1,50,DL_Guitar,ninjyou,6,2
67,100,0.7818181818181819,220,1,76,DL_Guitar,ninjyou,6,13
67,100,0.32272727272727275,422,1,76,DL_Guitar,ninjyou,6,5
67,100,0.4,832,1,76,DL_Guitar,ninjyou,6,6
62,100,0.1,43,1,77,DL_Guitar,ninjyou,6,2
62,100,0.35909090909090907,150,0,77,DL_Guitar,ninjyou,6,6
55,100,0.11818181818181818,360,1,77,DL_Guitar,ninjyou,6,2
55,100,0.17727272727272728,392,0,77,DL_Guitar,ninjyou,6,3
62,100,0.3409090909090909,690,1,77,DL_Guitar,ninjyou,6,5
67,100,0.7818181818181819,770,0,77,DL_Guitar,ninjyou,6,13
62,100,0.32272727272727275,69,1,78,DL_Guitar,ninjyou,6,5
62,100,0.16363636363636364,422,1,78,DL_Guitar,ninjyou,6,3
55,100,0.4590909090909091,475,0,78,DL_Guitar,ninjyou,6,7
55,100,0.5227272727272727,597,1,78,DL_Guitar,ninjyou,6,8
55,100,0.1590909090909091,22,1,79,DL_Guitar,ninjyou,6,3
52,100,0.13636363636363635,62,0,79,DL_Guitar,ninjyou,6,2
55,100,0.759090909090909,110,0,79,DL_Guitar,ninjyou,6,12
55,100,0.5,286,1,79,DL_Guitar,ninjyou,6,8
55,100,0.2772727272727273,480,1,79,DL_Guitar,ninjyou,6,4
55,100,0.2636363636363636,839,1,79,DL_Guitar,ninjyou,6,4
55,100,0.16363636363636364,47,1,80,DL_Guitar,ninjyou,6,3
62,100,0.9409090909090909,233,1,80,DL_Guitar,ninjyou,6,15
67,100,0.3,453,1,80,DL_Guitar,ninjyou,6,5
62,100,0.5181818181818182,523,0,80,DL_Guitar,ninjyou,6,8
67,100,0.1409090909090909,660,1,80,DL_Guitar,ninjyou,6,2
62,100,0.13636363636363635,810,1,80,DL_Guitar,ninjyou,6,2
55,100,0.3181818181818182,40,1,81,DL_Guitar,ninjyou,6,5
55,100,0.2772727272727273,470,1,81,DL_Guitar,ninjyou,6,4
55,100,1.3590909090909091,590,1,81,DL_Guitar,ninjyou,6,15
55,100,0.3,87,1,82,DL_Guitar,ninjyou,6,5
62,100,0.5,312,1,82,DL_Guitar,ninjyou,6,8
62,100,0.5590909090909091,436,1,82,DL_Guitar,ninjyou,6,9
62,100,0.2,722,1,82,DL_Guitar,ninjyou,6,3
62,100,0.13636363636363635,810,0,82,DL_Guitar,ninjyou,6,2
57,100,0.2409090909090909,839,0,82,DL_Guitar,ninjyou,6,4
67,100,0.4818181818181818,13,1,83,DL_Guitar,ninjyou,6,8
57,100,1.3227272727272728,386,1,83,DL_Guitar,ninjyou,6,15
62,100,0.13636363636363635,787,1,83,DL_Guitar,ninjyou,6,2
59,100,0.37727272727272726,83,1,84,DL_Guitar,ninjyou,6,6
59,100,0.2590909090909091,303,1,84,DL_Guitar,ninjyou,6,4
59,100,0.2772727272727273,404,0,84,DL_Guitar,ninjyou,6,4
59,100,0.41818181818181815,502,0,84,DL_Guitar,ninjyou,6,7
62,100,0.9,716,1,84,DL_Guitar,ninjyou,6,14
55,100,0.17727272727272728,127,1,85,DL_Guitar,ninjyou,6,3
57,100,0.2590909090909091,616,1,85,DL_Guitar,ninjyou,6,4
57,100,0.17727272727272728,700,0,85,DL_Guitar,ninjyou,6,3
55,100,0.5409090909090909,0,1,86,DL_Guitar,ninjyou,6,9
67,100,0.2,123,1,86,DL_Guitar,ninjyou,6,3
67,100,0.8363636363636363,172,0,86,DL_Guitar,ninjyou,6,13
55,100,0.1409090909090909,377,1,86,DL_Guitar,ninjyou,6,2
55,100,1.6181818181818182,449,0,86,DL_Guitar,ninjyou,6,15
67,100,0.1590909090909091,805,1,86,DL_Guitar,ninjyou,6,3
55,100,0.6,853,0,86,DL_Guitar,ninjyou,6,10
67,100,0.3,242,1,87,DL_Guitar,ninjyou,6,5
67,100,0.2590909090909091,475,1,87,DL_Guitar,ninjyou,6,4
